group,dataset,instance,n,m,alpha,known_opt,toyoda_profit,toyoda_ms,improved_toyoda_profit,improved_toyoda_ms,randomized_greedy_best,randomized_greedy_avg,randomized_greedy_std,randomized_greedy_ms,improved_randomized_greedy_best,improved_randomized_greedy_avg,improved_randomized_greedy_std,improved_randomized_greedy_ms,toyoda_gap,improved_toyoda_gap,randomized_greedy_gap,improved_randomized_greedy_gap,improved_toyoda_vs_toyoda_pct,improved_randomized_greedy_vs_randomized_greedy_pct,randomized_greedy_vs_toyoda_pct,improved_randomized_greedy_vs_improved_toyoda_pct
chubeas,OR30x250,OR30x250-0.75_3,250,30,0.75,,152139,203.177,152258,319.082,152589,151942.5,264.02,297.346,152479,152013.5,211.58,1435.373,,,,,0.078,-0.072,0.296,0.145
chubeas,OR30x250,OR30x250-0.75_4,250,30,0.75,,152208,203.275,152494,317.953,152299,152041.7,190.73,298.351,152559,152293.35,217.41,1413.559,,,,,0.188,0.171,0.06,0.043
chubeas,OR30x250,OR30x250-0.75_5,250,30,0.75,,149165,205.583,148917,322.146,149354,148956.3,273.85,299.577,149597,149278.0,192.14,1406.857,,,,,-0.166,0.163,0.127,0.457
chubeas,OR30x250,OR30x250-0.75_6,250,30,0.75,,147998,203.278,148083,314.155,147728,147472.7,165.98,308.598,148102,147700.0,183.35,1409.682,,,,,0.057,0.253,-0.182,0.013
chubeas,OR30x250,OR30x250-0.75_7,250,30,0.75,,146191,206.349,146520,318.356,146707,146300.45,245.93,302.516,146864,146432.05,228.34,1418.651,,,,,0.225,0.107,0.353,0.235
chubeas,OR30x250,OR30x250-0.75_8,250,30,0.75,,151569,204.987,151149,278.603,152321,151784.5,264.11,302.574,152260,151937.7,208.95,1419.833,,,,,-0.277,-0.04,0.496,0.735
chubeas,OR30x250,OR30x250-0.75_9,250,30,0.75,,148807,206.689,148885,293.817,148413,147858.4,245.67,331.303,148816,148453.15,263.06,1452.903,,,,,0.052,0.272,-0.265,-0.046
chubeas,OR30x500,OR30x500-0.25_1,500,30,0.25,,114188,393.204,115037,850.218,114270,113746.5,250.82,362.205,114470,113640.15,595.51,3874.995,,,,,0.744,0.175,0.072,-0.493
chubeas,OR30x500,OR30x500-0.25_10,500,30,0.25,,114781,386.012,115168,666.824,115379,114839.65,356.4,358.595,115385,114763.8,477.08,3814.3,,,,,0.337,0.005,0.521,0.188
chubeas,OR30x500,OR30x500-0.25_2,500,30,0.25,,113570,381.747,113801,674.172,113833,113333.15,286.67,354.708,113654,113011.65,340.19,3837.247,,,,,0.203,-0.157,0.232,-0.129
chubeas,OR30x500,OR30x500-0.25_3,500,30,0.25,,115328,383.847,115757,826.048,114948,114568.1,282.42,357.929,115328,114393.95,441.18,3912.165,,,,,0.372,0.331,-0.329,-0.371
chubeas,OR30x500,OR30x500-0.25_4,500,30,0.25,,113592,399.13,112993,676.461,113811,113357.85,280.42,366.806,114077,113371.7,336.73,3911.001,,,,,-0.527,0.234,0.193,0.959
chubeas,OR30x500,OR30x500-0.25_5,500,30,0.25,,114730,388.813,115318,834.646,114668,114104.3,383.82,372.497,115112,114211.55,602.02,3947.631,,,,,0.513,0.387,-0.054,-0.179
chubeas,OR30x500,OR30x500-0.25_6,500,30,0.25,,114954,392.064,114978,688.272,114854,114331.6,227.99,372.936,114954,113658.8,443.26,4009.777,,,,,0.021,0.087,-0.087,-0.021
chubeas,OR30x500,OR30x500-0.25_7,500,30,0.25,,112883,390.511,113112,702.267,112900,112295.55,297.6,389.073,112883,112098.55,382.06,3883.89,,,,,0.203,-0.015,0.015,-0.202
chubeas,OR30x500,OR30x500-0.25_8,500,30,0.25,,112233,378.62,111746,832.701,112467,111874.05,301.29,388.086,112655,112064.85,344.25,3872.733,,,,,-0.434,0.167,0.208,0.813
chubeas,OR30x500,OR30x500-0.25_9,500,30,0.25,,113347,382.884,113031,836.244,113786,113098.4,262.43,364.3,114024,113223.5,368.1,3902.12,,,,,-0.279,0.209,0.387,0.879
chubeas,OR30x500,OR30x500-0.50_1,500,30,0.50,,216414,647.441,216942,1040.103,217039,216468.15,297.68,626.252,216772,216376.1,291.42,5558.431,,,,,0.244,-0.123,0.289,-0.078
chubeas,OR30x500,OR30x500-0.50_10,500,30,0.50,,213327,661.779,213725,1243.962,213354,213084.0,228.78,630.501,213604,212975.85,353.61,5548.471,,,,,0.187,0.117,0.013,-0.057
chubeas,OR30x500,OR30x500-0.50_2,500,30,0.50,,213014,648.694,213227,1038.964,213361,212518.95,393.09,628.04,213172,212639.1,307.11,5530.569,,,,,0.1,-0.089,0.163,-0.026
chubeas,OR30x500,OR30x500-0.50_3,500,30,0.50,,215032,647.235,215069,1034.591,215089,214509.45,249.14,610.401,215032,214458.35,295.65,5572.123,,,,,0.017,-0.027,0.027,-0.017
chubeas,OR30x500,OR30x500-0.50_4,500,30,0.50,,216039,676.316,216545,1231.745,216024,215427.45,304.2,610.337,216269,215621.3,281.11,5623.231,,,,,0.234,0.113,-0.007,-0.127
chubeas,OR30x500,OR30x500-0.50_5,500,30,0.50,,214088,662.871,214328,1242.819,214366,213793.75,318.36,627.879,214244,213653.85,373.97,5637.772,,,,,0.112,-0.057,0.13,-0.039
chubeas,OR30x500,OR30x500-0.50_6,500,30,0.50,,214168,663.774,213680,1240.033,214365,213566.2,310.69,625.847,214393,213857.35,272.69,5616.459,,,,,-0.228,0.013,0.092,0.334
chubeas,OR30x500,OR30x500-0.50_7,500,30,0.50,,214564,677.307,214791,1071.665,214651,214402.0,214.15,631.429,215044,214310.2,403.92,5650.908,,,,,0.106,0.183,0.041,0.118
chubeas,OR30x500,OR30x500-0.50_8,500,30,0.50,,214681,677.022,214309,1095.839,214988,214469.45,258.19,642.479,215357,214845.3,241.36,5555.993,,,,,-0.173,0.172,0.143,0.489
chubeas,OR30x500,OR30x500-0.50_9,500,30,0.50,,215838,659.783,215928,1059.315,216027,215310.65,293.08,606.885,216237,215612.55,259.5,5534.569,,,,,0.042,0.097,0.088,0.143
chubeas,OR30x500,OR30x500-0.75_1,500,30,0.75,,299977,809.81,300571,1257.734,300825,300221.1,268.16,816.976,300761,300315.35,222.96,5150.661,,,,,0.198,-0.021,0.283,0.063
chubeas,OR30x500,OR30x500-0.75_10,500,30,0.75,,299478,811.956,299532,1120.148,299475,299133.95,256.03,851.95,299593,299303.25,200.99,5200.635,,,,,0.018,0.039,-0.001,0.02
chubeas,OR30x500,OR30x500-0.75_2,500,30,0.75,,299043,833.924,299427,1110.025,298907,298469.0,277.9,805.279,299145,298723.65,306.5,5111.341,,,,,0.128,0.08,-0.045,-0.094
chubeas,OR30x500,OR30x500-0.75_3,500,30,0.75,,303891,812.432,304474,1252.295,304137,303688.55,261.43,803.03,304384,304065.1,238.21,5109.343,,,,,0.192,0.081,0.081,-0.03
chubeas,OR30x500,OR30x500-0.75_4,500,30,0.75,,300501,907.556,301062,1265.784,300852,300543.25,136.27,868.128,301329,300876.35,203.89,5115.29,,,,,0.187,0.159,0.117,0.089
chubeas,OR30x500,OR30x500-0.75_5,500,30,0.75,,303074,814.952,303497,1272.475,303726,303056.85,295.94,834.559,303549,303116.25,259.75,5221.953,,,,,0.14,-0.058,0.215,0.017
chubeas,OR30x500,OR30x500-0.75_6,500,30,0.75,,295921,868.384,296208,1161.94,295910,295654.75,189.82,847.213,296281,295888.0,216.24,5221.068,,,,,0.097,0.125,-0.004,0.025
chubeas,OR30x500,OR30x500-0.75_7,500,30,0.75,,302018,833.552,302206,1138.501,302198,301695.4,278.29,807.942,302645,302084.95,302.94,5183.802,,,,,0.062,0.148,0.06,0.145
chubeas,OR30x500,OR30x500-0.75_8,500,30,0.75,,305736,814.228,305288,1255.421,305779,305413.05,226.43,808.233,305990,305631.15,215.75,5081.609,,,,,-0.147,0.069,0.014,0.23
chubeas,OR30x500,OR30x500-0.75_9,500,30,0.75,,301683,813.279,301995,1281.015,301747,301207.3,235.16,870.076,302063,301404.85,270.65,5176.571,,,,,0.103,0.105,0.021,0.023
chubeas,OR5x100,OR5x100-0.25_1,100,5,0.25,,23984,17.676,24192,36.795,24126,23826.1,172.69,43.11,24326,23935.6,218.19,195.677,,,,,0.867,0.829,0.592,0.554
chubeas,OR5x100,OR5x100-0.25_10,100,5,0.25,,24121,17.739,24163,30.272,24247,23750.05,242.1,42.789,24271,24021.6,135.09,191.805,,,,,0.174,0.099,0.522,0.447
chubeas,OR5x100,OR5x100-0.25_2,100,5,0.25,,23970,18.667,24088,30.875,23970,23667.7,215.94,45.261,24225,23973.1,182.72,199.46,,,,,0.492,1.064,0.0,0.569
chubeas,OR5x100,OR5x100-0.25_3,100,5,0.25,,23317,18.132,23416,30.488,23523,23092.1,222.36,43.544,23515,23324.3,100.64,197.373,,,,,0.425,-0.034,0.883,0.423
chubeas,OR5x100,OR5x100-0.25_4,100,5,0.25,,22884,17.793,23117,30.316,23370,22902.15,236.78,44.0,23431,23081.5,215.72,196.725,,,,,1.018,0.261,2.124,1.358
chubeas,OR5x100,OR5x100-0.25_5,100,5,0.25,,23826,18.673,23826,24.776,23764,23398.95,206.0,46.05,23862,23563.65,164.99,199.992,,,,,0.0,0.412,-0.26,0.151
chubeas,OR5x100,OR5x100-0.25_6,100,5,0.25,,24529,18.761,24529,25.297,24300,24064.75,181.31,47.912,24529,24311.2,102.37,199.53,,,,,0.0,0.942,-0.934,0.0
chubeas,OR5x100,OR5x100-0.25_7,100,5,0.25,,24953,21.163,25167,34.19,25087,24653.65,316.39,48.973,25448,25111.95,229.47,207.188,,,,,0.858,1.439,0.537,1.117
chubeas,OR5x100,OR5x100-0.25_8,100,5,0.25,,23172,19.39,23201,30.8,23284,22834.0,249.5,46.251,23367,23118.0,157.43,194.48,,,,,0.125,0.356,0.483,0.715
chubeas,OR5x100,OR5x100-0.25_9,100,5,0.25,,23787,18.482,23877,31.64,24071,23675.1,177.06,45.989,24071,23879.15,122.72,199.512,,,,,0.378,0.0,1.194,0.812
chubeas,OR5x100,OR5x100-0.50_1,100,5,0.50,,42363,27.115,42565,42.968,42705,42354.7,160.06,69.502,42587,42450.2,123.87,279.15,,,,,0.477,-0.276,0.807,0.052
chubeas,OR5x100,OR5x100-0.50_10,100,5,0.50,,44360,27.773,44370,43.316,44369,44089.35,177.94,73.086,44419,44295.35,86.93,284.04,,,,,0.023,0.113,0.02,0.11
chubeas,OR5x100,OR5x100-0.50_2,100,5,0.50,,42352,28.469,42385,43.592,42303,41951.7,164.08,73.71,42445,42296.75,94.93,274.364,,,,,0.078,0.336,-0.116,0.142
chubeas,OR5x100,OR5x100-0.50_3,100,5,0.50,,41601,27.816,41757,43.219,41756,41346.7,195.67,70.175,41827,41620.65,132.08,271.937,,,,,0.375,0.17,0.373,0.168
chubeas,OR5x100,OR5x100-0.50_4,100,5,0.50,,44514,28.939,44847,43.44,44818,44398.25,258.72,71.73,44922,44670.45,142.06,271.413,,,,,0.748,0.232,0.683,0.167
chubeas,OR5x100,OR5x100-0.50_5,100,5,0.50,,41908,27.492,41949,43.846,41855,41631.9,165.16,78.187,42085,41919.1,108.0,284.382,,,,,0.098,0.55,-0.126,0.324
chubeas,OR5x100,OR5x100-0.50_6,100,5,0.50,,42308,28.298,42746,50.877,42759,42469.6,197.5,79.971,42781,42615.05,126.28,296.45,,,,,1.035,0.051,1.066,0.082
chubeas,OR5x100,OR5x100-0.50_7,100,5,0.50,,41980,31.149,41980,34.566,41824,41474.0,239.13,74.688,41980,41656.15,113.01,284.158,,,,,0.0,0.373,-0.372,0.0
chubeas,OR5x100,OR5x100-0.50_8,100,5,0.50,,44521,30.043,44771,52.373,44985,44527.6,179.43,73.162,44989,44701.35,135.7,277.621,,,,,0.562,0.009,1.042,0.487
chubeas,OR5x100,OR5x100-0.50_9,100,5,0.50,,43048,29.376,43187,43.782,43229,42816.9,195.28,69.599,43299,43042.2,201.0,270.947,,,,,0.323,0.162,0.42,0.259
chubeas,OR5x100,OR5x100-0.75_1,100,5,0.75,,59822,34.525,59822,39.132,59742,59370.0,221.11,95.803,59822,59668.1,132.05,265.912,,,,,0.0,0.134,-0.134,0.0
chubeas,OR5x100,OR5x100-0.75_10,100,5,0.75,,59650,34.212,59145,45.727,59769,59511.6,160.79,96.002,59926,59775.2,76.85,270.543,,,,,-0.847,0.263,0.199,1.32
chubeas,OR5x100,OR5x100-0.75_2,100,5,0.75,,61551,34.341,61834,56.841,61707,61455.35,208.48,101.476,61907,61764.7,84.1,276.752,,,,,0.46,0.324,0.253,0.118
chubeas,OR5x100,OR5x100-0.75_3,100,5,0.75,,59595,34.445,59607,45.486,59614,59345.55,138.24,99.51,59694,59590.5,73.38,283.169,,,,,0.02,0.134,0.032,0.146
chubeas,OR5x100,OR5x100-0.75_4,100,5,0.75,,59883,37.289,60139,46.804,60191,59992.75,142.3,98.048,60461,60230.85,99.82,277.186,,,,,0.428,0.449,0.514,0.535
chubeas,OR5x100,OR5x100-0.75_5,100,5,0.75,,60512,39.833,60326,52.408,60895,60644.2,196.64,97.015,61029,60932.65,77.81,291.683,,,,,-0.307,0.22,0.633,1.165
chubeas,OR5x100,OR5x100-0.75_6,100,5,0.75,,58543,36.385,58856,45.537,58920,58605.15,203.29,94.947,58937,58776.45,78.28,271.601,,,,,0.535,0.029,0.644,0.138
chubeas,OR5x100,OR5x100-0.75_7,100,5,0.75,,60989,34.15,61268,45.44,61351,61076.5,143.42,99.656,61519,61314.4,100.13,273.635,,,,,0.457,0.274,0.594,0.41
chubeas,OR5x100,OR5x100-0.75_8,100,5,0.75,,61111,32.965,61252,44.874,61270,61012.6,146.4,102.017,61443,61253.35,102.79,274.112,,,,,0.231,0.282,0.26,0.312
chubeas,OR5x100,OR5x100-0.75_9,100,5,0.75,,58871,35.173,59191,51.627,59211,58905.25,182.92,93.418,59367,59160.7,101.38,280.796,,,,,0.544,0.263,0.578,0.297
chubeas,OR5x250,OR5x250-0.25_1,250,5,0.25,,59156,110.982,59194,189.328,58968,58824.6,95.47,167.18,59156,58834.8,169.38,1110.423,,,,,0.064,0.319,-0.318,-0.064
chubeas,OR5x250,OR5x250-0.25_10,250,5,0.25,,58569,108.594,58606,186.184,58768,58386.8,174.81,140.501,58679,58464.0,123.55,1117.115,,,,,0.063,-0.151,0.34,0.125
chubeas,OR5x250,OR5x250-0.25_2,250,5,0.25,,60921,110.648,61274,189.955,61204,60884.65,119.39,141.326,61349,60961.35,221.47,1103.959,,,,,0.579,0.237,0.465,0.122
chubeas,OR5x250,OR5x250-0.25_3,250,5,0.25,,61505,117.415,61694,193.993,61678,61457.85,148.5,142.138,61844,61569.1,168.1,1108.615,,,,,0.307,0.269,0.281,0.243
chubeas,OR5x250,OR5x250-0.25_4,250,5,0.25,,58985,108.378,59061,185.365,59254,58899.0,176.21,141.144,59171,58797.35,259.68,1125.514,,,,,0.129,-0.14,0.456,0.186
chubeas,OR5x250,OR5x250-0.25_5,250,5,0.25,,58764,113.039,58773,190.599,58663,58388.45,180.11,139.769,58764,58405.8,220.93,1117.065,,,,,0.015,0.172,-0.172,-0.015
chubeas,OR5x250,OR5x250-0.25_6,250,5,0.25,,59674,120.134,59745,193.494,59735,59523.7,154.67,142.385,59937,59632.35,166.87,1108.04,,,,,0.119,0.338,0.102,0.321
chubeas,OR5x250,OR5x250-0.25_7,250,5,0.25,,60005,112.87,60032,193.538,60250,59931.85,169.4,159.635,60084,59834.95,196.26,1129.247,,,,,0.045,-0.276,0.408,0.087
chubeas,OR5x250,OR5x250-0.25_8,250,5,0.25,,61023,111.681,61186,190.38,61222,60947.0,152.29,146.558,61316,61022.25,177.36,1112.322,,,,,0.267,0.154,0.326,0.212
chubeas,OR5x250,OR5x250-0.25_9,250,5,0.25,,61429,118.13,61520,198.016,61662,61256.7,163.96,147.817,61577,61334.5,195.33,1116.267,,,,,0.148,-0.138,0.379,0.093
chubeas,OR5x250,OR5x250-0.50_1,250,5,0.50,,108644,168.799,108754,266.908,108814,108587.15,112.93,230.797,108956,108623.2,235.72,1464.979,,,,,0.101,0.13,0.156,0.186
chubeas,OR5x250,OR5x250-0.50_10,250,5,0.50,,106575,166.031,106766,311.858,106802,106515.6,193.1,214.459,106866,106601.8,205.44,1428.106,,,,,0.179,0.06,0.213,0.094
chubeas,OR5x250,OR5x250-0.50_2,250,5,0.50,,109108,168.082,109402,264.175,109598,109384.4,117.79,225.934,109629,109446.65,119.03,1485.017,,,,,0.269,0.028,0.449,0.207
chubeas,OR5x250,OR5x250-0.50_3,250,5,0.50,,108176,174.119,108239,267.08,108323,108058.5,159.33,213.437,108375,108144.2,160.33,1471.684,,,,,0.058,0.048,0.136,0.126
chubeas,OR5x250,OR5x250-0.50_4,250,5,0.50,,109080,172.517,109208,277.937,109236,108926.95,169.75,231.913,109162,108998.95,134.37,1471.996,,,,,0.117,-0.068,0.143,-0.042
chubeas,OR5x250,OR5x250-0.50_5,250,5,0.50,,110603,177.078,110603,218.936,110449,110181.15,134.85,231.913,110603,110297.95,157.41,1437.858,,,,,0.0,0.139,-0.139,0.0
chubeas,OR5x250,OR5x250-0.50_6,250,5,0.50,,109680,167.44,109796,262.263,109990,109679.05,212.53,220.495,110025,109786.75,132.59,1455.581,,,,,0.106,0.032,0.283,0.209
chubeas,OR5x250,OR5x250-0.50_7,250,5,0.50,,108610,169.411,108768,263.606,108795,108515.05,181.64,220.428,108879,108636.7,126.88,1438.393,,,,,0.145,0.077,0.17,0.102
chubeas,OR5x250,OR5x250-0.50_8,250,5,0.50,,108476,168.507,107744,314.256,108833,108600.75,136.86,221.413,108743,108533.45,135.52,1449.18,,,,,-0.675,-0.083,0.329,0.927
chubeas,OR5x250,OR5x250-0.50_9,250,5,0.50,,109638,190.25,109646,277.125,109738,109525.15,139.41,228.648,109800,109561.95,138.95,1454.96,,,,,0.007,0.056,0.091,0.14
chubeas,OR5x250,OR5x250-0.75_1,250,5,0.75,,149010,208.928,149084,276.527,149466,149241.1,126.74,296.28,149636,149414.9,106.71,1317.796,,,,,0.05,0.114,0.306,0.37
chubeas,OR5x250,OR5x250-0.75_10,250,5,0.75,,154312,207.786,154388,274.31,154560,154303.1,139.17,289.793,154604,154429.3,119.5,1331.974,,,,,0.049,0.028,0.161,0.14
chubeas,OR5x250,OR5x250-0.75_2,250,5,0.75,,155503,212.255,155767,277.43,155774,155514.85,147.73,297.455,155790,155647.6,104.55,1344.562,,,,,0.17,0.01,0.174,0.015
chubeas,OR5x250,OR5x250-0.75_3,250,5,0.75,,149211,209.708,149228,275.386,149119,148883.55,150.08,287.59,149242,149035.4,97.62,1344.881,,,,,0.011,0.082,-0.062,0.009
chubeas,OR5x250,OR5x250-0.75_4,250,5,0.75,,151531,204.668,150538,317.499,151902,151645.3,154.53,299.416,152113,151846.55,128.89,1321.223,,,,,-0.655,0.139,0.245,1.046
chubeas,OR5x250,OR5x250-0.75_5,250,5,0.75,,149948,203.649,150018,275.452,150183,149954.25,131.19,303.952,150240,150036.45,118.91,1300.212,,,,,0.047,0.038,0.157,0.148
chubeas,OR5x250,OR5x250-0.75_6,250,5,0.75,,149693,203.41,149903,273.518,149907,149587.25,177.3,285.032,149854,149690.55,105.0,1333.445,,,,,0.14,-0.035,0.143,-0.033
chubeas,OR5x250,OR5x250-0.75_7,250,5,0.75,,148135,205.445,148308,280.155,148366,148202.35,93.7,289.776,148528,148324.45,70.33,1313.861,,,,,0.117,0.109,0.156,0.148
chubeas,OR5x250,OR5x250-0.75_8,250,5,0.75,,149311,204.003,149484,271.057,149552,149323.5,127.44,299.287,149685,149543.1,84.57,1290.549,,,,,0.116,0.089,0.161,0.134
chubeas,OR5x250,OR5x250-0.75_9,250,5,0.75,,154978,203.219,154988,274.785,155037,154741.3,137.81,286.595,154988,154790.65,96.77,1329.27,,,,,0.006,-0.032,0.038,0.0
chubeas,OR5x500,OR5x500-0.25_1,500,5,0.25,,119388,431.801,119719,761.342,119818,119645.8,129.95,372.405,119839,119460.75,229.25,4179.157,,,,,0.277,0.018,0.36,0.1
chubeas,OR5x500,OR5x500-0.25_10,500,5,0.25,,120270,445.278,120319,757.359,120498,120275.25,111.0,377.138,120521,119945.4,391.08,4279.864,,,,,0.041,0.019,0.19,0.168
chubeas,OR5x500,OR5x500-0.25_2,500,5,0.25,,117376,444.436,117461,779.472,117653,117406.1,136.08,385.318,117642,117221.05,344.19,4259.436,,,,,0.072,-0.009,0.236,0.154
chubeas,OR5x500,OR5x500-0.25_3,500,5,0.25,,120662,427.099,120804,754.618,120920,120643.1,174.82,381.204,120863,120437.35,296.39,4147.199,,,,,0.118,-0.047,0.214,0.049
chubeas,OR5x500,OR5x500-0.25_4,500,5,0.25,,120442,465.15,120530,790.089,120500,120260.95,121.38,393.549,120604,120187.55,289.57,4236.842,,,,,0.073,0.086,0.048,0.061
chubeas,OR5x500,OR5x500-0.25_5,500,5,0.25,,121983,438.742,122035,939.286,122121,121827.1,128.82,390.735,121988,121721.7,206.81,4212.647,,,,,0.043,-0.109,0.113,-0.039
chubeas,OR5x500,OR5x500-0.25_6,500,5,0.25,,121743,461.794,121754,780.677,121827,121500.7,144.89,406.723,121743,121307.55,319.64,4311.049,,,,,0.009,-0.069,0.069,-0.009
chubeas,OR5x500,OR5x500-0.25_7,500,5,0.25,,118693,448.795,118839,769.107,118891,118674.95,118.76,382.84,118854,118473.5,256.49,4234.232,,,,,0.123,-0.031,0.167,0.013
chubeas,OR5x500,OR5x500-0.25_8,500,5,0.25,,120218,452.464,120283,784.431,120338,120041.8,148.44,396.517,120218,119857.5,293.12,4243.265,,,,,0.054,-0.1,0.1,-0.054
chubeas,OR5x500,OR5x500-0.25_9,500,5,0.25,,121066,460.646,121246,758.683,121232,121016.8,121.08,376.645,121229,120744.0,340.46,4203.358,,,,,0.149,-0.002,0.137,-0.014
chubeas,OR5x500,OR5x500-0.50_1,500,5,0.50,,218223,679.301,218228,1120.076,218278,217938.0,201.0,594.18,218223,217874.05,225.78,5352.74,,,,,0.002,-0.025,0.025,-0.002
chubeas,OR5x500,OR5x500-0.50_10,500,5,0.50,,219416,670.063,219436,1065.176,219383,219222.35,122.47,578.907,219520,219194.7,218.13,5433.393,,,,,0.009,0.062,-0.015,0.038
chubeas,OR5x500,OR5x500-0.50_2,500,5,0.50,,220964,674.824,221083,1061.915,220967,220715.95,137.03,584.042,220964,220591.35,214.94,5392.124,,,,,0.054,-0.001,0.001,-0.054
chubeas,OR5x500,OR5x500-0.50_3,500,5,0.50,,217160,693.339,217325,1293.762,217335,217138.15,91.82,596.683,217303,217059.8,183.58,5477.83,,,,,0.076,-0.015,0.081,-0.01
chubeas,OR5x500,OR5x500-0.50_4,500,5,0.50,,223178,676.544,223327,1076.468,223317,223122.3,118.55,602.69,223282,223101.05,125.8,5438.876,,,,,0.067,-0.016,0.062,-0.02
chubeas,OR5x500,OR5x500-0.50_5,500,5,0.50,,218545,686.158,218661,1082.539,218776,218520.8,132.93,585.496,218816,218462.05,244.42,5424.678,,,,,0.053,0.018,0.106,0.071
chubeas,OR5x500,OR5x500-0.50_6,500,5,0.50,,220251,665.321,220279,1052.263,220287,220077.45,99.54,576.149,220282,220039.2,187.78,5402.615,,,,,0.013,-0.002,0.016,0.001
chubeas,OR5x500,OR5x500-0.50_7,500,5,0.50,,219620,677.957,219798,1064.182,219802,219564.35,124.32,585.457,219769,219485.55,186.69,5400.698,,,,,0.081,-0.015,0.083,-0.013
chubeas,OR5x500,OR5x500-0.50_8,500,5,0.50,,217808,688.109,217970,1065.08,218001,217788.75,127.47,602.045,217973,217735.35,212.93,5415.299,,,,,0.074,-0.013,0.089,0.001
chubeas,OR5x500,OR5x500-0.50_9,500,5,0.50,,216627,692.276,216665,1055.717,216784,216580.05,101.99,575.032,216738,216484.8,229.2,5464.471,,,,,0.018,-0.021,0.072,0.034
chubeas,OR5x500,OR5x500-0.75_1,500,5,0.75,,295439,820.219,295529,1091.75,295665,295451.95,122.36,761.518,295640,295508.8,81.39,4713.941,,,,,0.03,-0.008,0.076,0.038
chubeas,OR5x500,OR5x500-0.75_10,500,5,0.75,,299564,801.635,299677,1079.231,299633,299511.1,111.52,742.061,299752,299611.9,77.18,4737.32,,,,,0.038,0.04,0.023,0.025
chubeas,OR5x500,OR5x500-0.75_2,500,5,0.75,,307613,809.314,307735,1088.787,307894,307609.25,158.03,757.977,307825,307689.4,97.1,4665.17,,,,,0.04,-0.022,0.091,0.029
chubeas,OR5x500,OR5x500-0.75_3,500,5,0.75,,299633,811.094,299672,1080.166,299572,299410.65,119.57,748.886,299672,299504.45,102.1,4648.669,,,,,0.013,0.033,-0.02,0.0
chubeas,OR5x500,OR5x500-0.75_4,500,5,0.75,,306280,821.191,306280,947.752,306339,306068.3,112.04,751.93,306313,306181.45,80.28,4841.372,,,,,0.0,-0.008,0.019,0.011
chubeas,OR5x500,OR5x500-0.75_5,500,5,0.75,,300122,809.42,300143,1093.138,300154,299985.3,96.67,753.981,300178,300059.2,83.38,4698.011,,,,,0.007,0.008,0.011,0.012
chubeas,OR5x500,OR5x500-0.75_6,500,5,0.75,,302127,807.694,302288,1076.828,302460,302201.65,118.9,747.001,302429,302234.05,119.56,4628.749,,,,,0.053,-0.01,0.11,0.047
chubeas,OR5x500,OR5x500-0.75_7,500,5,0.75,,300781,804.977,300987,1081.035,301126,300917.7,130.52,747.274,301175,301020.9,93.1,4648.854,,,,,0.068,0.016,0.115,0.062
chubeas,OR5x500,OR5x500-0.75_8,500,5,0.75,,306057,812.23,306288,1087.158,306217,305988.55,142.0,749.922,306249,306088.2,98.61,4709.404,,,,,0.075,0.01,0.052,-0.013
chubeas,OR5x500,OR5x500-0.75_9,500,5,0.75,,302436,820.843,302546,1106.26,302630,302464.05,106.04,747.502,302605,302493.8,100.75,4763.873,,,,,0.036,-0.008,0.064,0.02
gk,gk,gk01,100,15,,3766,3741,26.969,3751,42.184,3729,3696.3,17.77,68.511,3748,3734.3,8.54,274.034,0.664,0.398,0.982,0.478,0.267,0.51,-0.321,-0.08
gk,gk,gk02,100,25,,3958,3866,26.329,3919,51.34,3903,3882.7,14.92,68.894,3937,3917.6,8.78,277.51,2.324,0.985,1.39,0.531,1.371,0.871,0.957,0.459
gk,gk,gk03,150,25,,5656,5568,60.025,5621,116.775,5583,5561.8,18.05,119.077,5630,5607.55,10.0,582.467,1.556,0.619,1.291,0.46,0.952,0.842,0.269,0.16
gk,gk,gk04,150,50,,,5704,61.631,5717,96.739,5700,5669.6,19.12,117.607,5724,5705.85,8.8,613.741,,,,,0.228,0.421,-0.07,0.122
gk,gk,gk05,200,25,,,7444,105.107,7496,169.201,7470,7440.45,17.45,163.683,7535,7499.7,14.44,976.738,,,,,0.699,0.87,0.349,0.52
gk,gk,gk06,200,50,,,7588,104.969,7623,168.778,7600,7526.25,30.44,169.035,7622,7597.1,11.91,1022.34,,,,,0.461,0.289,0.158,-0.013
gk,gk,gk07,500,25,,,19159,701.148,19186,1064.902,19162,19129.9,18.44,637.44,19170,19143.8,19.18,5661.837,,,,,0.141,0.042,0.016,-0.083
gk,gk,gk08,500,50,,,18707,650.695,18740,1063.399,18704,18657.8,18.9,655.248,18727,18693.7,15.41,5915.789,,,,,0.176,0.123,-0.016,-0.069
gk,gk,gk09,1500,25,,,58042,5988.263,58056,11177.21,58044,58009.1,20.27,5619.674,58042,57973.7,44.27,52418.239,,,,,0.024,-0.003,0.003,-0.024
gk,gk,gk10,1500,50,,,57171,6101.109,57213,9670.855,57147,57117.5,21.46,5065.953,57171,57101.15,31.43,50892.246,,,,,0.073,0.042,-0.042,-0.073
gk,gk,gk11,2500,100,,,94878,16979.962,95021,32878.256,94922,94876.45,25.35,29163.751,95008,94952.5,39.72,190331.496,,,,,0.151,0.091,0.046,-0.014
